序号,model_sample_size,qp,cp,bs,n_trials,n_question,准确性,平均reward,answer_tokens,total_tokens,mean_eflops,mean_memory
42,aime_Qwen3-14B_S16,16,4,2,3,60,0.38333333333333336,0.7109599700417252,72902.33333333333,1714007.6666666667,5.3584937719769544e+16,296321206173294.94
43,aime_Qwen3-14B_S8,16,4,2,3,60,0.3111111111111111,0.6863024786301205,73230.33333333333,998964.6666666666,3.805524809001396e+16,220049925828454.4
44,aime_Qwen3-14B_S4,16,4,2,3,60,0.2888888888888889,0.6526524361949778,74290.0,516108.6666666667,2.6175183802100948e+16,156208433028771.53
45,aime_Qwen3-14B_S2,16,4,2,3,60,0.21666666666666667,0.602539525890281,78795.66666666667,284492.0,1.7842933972110992e+16,108374558291225.61
46,aime_Qwen3-14B_S1,16,4,2,3,60,0.13333333333333333,0.5323434367505665,77575.0,148574.66666666666,1.1726440210841256e+16,72007550302409.95
47,aime_Qwen3-14B_S8,8,8,2,3,60,0.3,0.6996090663971261,84427.0,1136428.3333333333,4.360292556176136e+16,223208793623705.6
48,aime_Qwen3-14B_S4,8,8,2,3,60,0.25555555555555554,0.6563109794969892,86000.0,609797.6666666666,2.9627969431081324e+16,162175675712219.03
49,aime_Qwen3-14B_S2,8,8,2,3,60,0.2388888888888889,0.6163895285131494,84721.66666666667,320574.0,2.0037191668147068e+16,114582045951884.8
50,aime_Qwen3-14B_S1,8,8,2,3,60,0.19444444444444445,0.5555627603057016,91927.0,183822.33333333334,1.3440204057914586e+16,78659671017316.98
51,aime_Qwen3-14B_S4,4,16,4,3,60,0.3333333333333333,0.7139081497221215,76535.66666666667,961719.6666666666,3.957721693610902e+16,214783415141124.28
52,aime_Qwen3-14B_S2,4,16,4,3,60,0.2611111111111111,0.6689913490927957,77412.33333333333,542768.3333333334,2.656807563609286e+16,150410825200931.56
53,aime_Qwen3-14B_S1,4,16,4,3,60,0.15,0.5862277396188876,73006.33333333333,282673.6666666667,1.6611739201038562e+16,97469860398081.42
54,aime_Qwen3-14B_S2,2,32,4,3,60,0.2333333333333333,0.664746563260913,64426.666666666664,441046.6666666667,2.5866572659104428e+16,142023060657335.47
55,aime_Qwen3-14B_S1,2,32,4,3,60,0.13333333333333333,0.5695215254886752,61682.333333333336,232904.33333333334,1.6844409857997886e+16,96614473399067.02
56,aime_Qwen3-14B_S1,1,64,4,3,60,0.15,0.603081491673505,53100.0,205083.0,1.9449245188752212e+16,104986639656029.86
57,aime_Qwen3-8B_S64,64,1,1,3,60,0.43333333333333335,0.6586112589257634,88250.33333333333,4292200.0,5.4061958799904744e+16,220880713078579.16
58,aime_Qwen3-8B_S32,64,1,1,3,60,0.37777777777777777,0.6429743405733348,88395.0,2374532.3333333335,3.5645173817794964e+16,166598477926492.47
59,aime_Qwen3-8B_S16,64,1,1,3,60,0.3444444444444444,0.6297982128695759,90009.66666666667,1263500.0,2.4520531356329068e+16,125945075429403.02
