序号,model_sample_size,qp,cp,bs,n_trials,n_question,准确性,平均reward,answer_tokens,total_tokens,mean_eflops,访存量
187,aime_Qwen3-14B_S4,64,1,1,1,60,0.08333333333333333,0.3362324042323307,50335,83074,9480754972705250.0,59243865405781.336
188,aime_Qwen3-14B_S4,64,1,1,1,60,0.05,0.3534677657428034,59322,86294,9130832765200584.0,57021040312209.07
189,aime_Qwen3-14B_S4,64,1,1,1,60,0.05,0.3548202980598815,53149,86553,9510708910834602.0,59418758370231.47
190,aime_Qwen3-14B_S2,64,1,1,1,60,0.11666666666666667,0.41860937257647335,74432,91631,8886890276827814.0,55762857384524.8
191,aime_Qwen3-14B_S2,64,1,1,1,60,0.15,0.3860427651664068,70450,87661,8562367351144162.0,53706819856055.47
192,aime_Qwen3-14B_S2,64,1,1,1,60,0.08333333333333333,0.3895875981149277,75609,94421,9002794199274377.0,56454027054899.2
193,aime_Qwen3-14B_S1,64,1,1,1,60,0.13333333333333333,0.39919168702720415,84119,84119,7077814725099230.0,44588019825152.0
194,aime_Qwen3-14B_S1,64,1,1,1,60,0.15,0.37558422462281266,88889,88889,7336789101063706.0,46213725080883.2
195,aime_Qwen3-14B_S1,64,1,1,1,60,0.08333333333333333,0.4125240641667648,83399,83399,7247433749999735.0,45556997859276.8
196,aime_Qwen3-8B_S16,16,4,2,1,60,0.3333333333333333,0.7175549826805401,91337,2205980,395881242365657.6,2324008134924.8
197,aime_Qwen3-8B_S16,16,4,2,1,60,0.3333333333333333,0.7271383462983929,89350,2230096,395881242365657.6,2324008134924.8
198,aime_Qwen3-8B_S16,16,4,2,1,60,0.3333333333333333,0.6994745669377849,86285,2250483,395881242365657.6,2324008134924.8
199,aime_Qwen3-8B_S8,16,4,2,1,60,0.2833333333333333,0.6775939199520737,89535,1179105,331257167774182.4,2011019821384.5334
200,aime_Qwen3-8B_S8,16,4,2,1,60,0.3,0.6733587684648688,86286,1160768,326026997666056.56,1974321591590.4
201,aime_Qwen3-8B_S8,16,4,2,1,60,0.3333333333333333,0.6844792988380615,84334,1145442,340805959377527.44,2070635664469.3333
202,aime_Qwen3-8B_S4,16,4,2,1,60,0.21666666666666667,0.6454181505998675,90324,645892,304027884649510.4,1882809011716.2666
203,aime_Qwen3-8B_S4,16,4,2,1,60,0.25,0.6700140533264664,94459,643649,264213975602564.28,1628105302331.7334
204,aime_Qwen3-8B_S4,16,4,2,1,60,0.26666666666666666,0.6281213051582115,89116,619238,280369690999684.28,1732312189303.4666
205,aime_Qwen3-8B_S2,16,4,2,1,60,0.21666666666666667,0.5606068871805904,95403,351576,235713823108548.28,1471147861751.4666
206,aime_Qwen3-8B_S2,16,4,2,1,60,0.25,0.6132707560704961,98754,349301,233063251444672.0,1453553287756.8
207,aime_Qwen3-8B_S2,16,4,2,1,60,0.23333333333333334,0.5808663699449684,90173,350751,219137870483630.94,1365143501563.7334
208,aime_Qwen3-8B_S1,16,4,2,1,60,0.18333333333333332,0.5154643357158998,96774,193631,163860177208917.34,1023979538628.2667
209,aime_Qwen3-8B_S1,16,4,2,1,60,0.16666666666666666,0.531353782550598,95075,190441,187455890899541.34,1174028789410.1333
210,aime_Qwen3-8B_S1,16,4,2,1,60,0.15,0.5078158533241807,101365,202615,181278179323494.4,1134390958813.8667
211,aime_Qwen3-4B_S16,16,4,2,1,60,0.3,0.7195161235281339,75714,1960931,201005527897736.53,1132502845806.9333
212,aime_Qwen3-4B_S16,16,4,2,1,60,0.3,0.7374062092741845,76284,1992070,201005527897736.53,1132502845806.9333
213,aime_Qwen3-4B_S16,16,4,2,1,60,0.3,0.7284949182063467,75661,1973798,201005527897736.53,1132502845806.9333
214,aime_Qwen3-4B_S8,16,4,2,1,60,0.26666666666666666,0.6967516621418961,75835,1067088,167155599024401.06,990756901956.2667
215,aime_Qwen3-4B_S8,16,4,2,1,60,0.2833333333333333,0.6707278663946039,76119,1047182,171858550886331.72,1018642850227.2
216,aime_Qwen3-4B_S8,16,4,2,1,60,0.2833333333333333,0.6860162963495205,74825,1050136,161666585540437.34,955777780957.8667
217,aime_Qwen3-4B_S4,16,4,2,1,60,0.21666666666666667,0.6542874963263299,79728,602073,128377479955848.53,780578569386.6666
218,aime_Qwen3-4B_S4,16,4,2,1,60,0.23333333333333334,0.6720102054784909,77072,573812,143724970654011.72,877027728187.7333
219,aime_Qwen3-4B_S4,16,4,2,1,60,0.2,0.6428995432855789,76739,597848,133293056243413.33,810277952213.3334
220,aime_Qwen3-4B_S2,16,4,2,1,60,0.18333333333333332,0.6085375422370461,77162,297127,109867110060868.27,679561219891.2
221,aime_Qwen3-4B_S2,16,4,2,1,60,0.18333333333333332,0.5686195399243575,81109,303117,114009343039530.67,705010510438.4
222,aime_Qwen3-4B_S2,16,4,2,1,60,0.16666666666666666,0.565534971043646,87526,325396,109574152284288.0,676817183641.6
223,aime_Qwen3-4B_S1,16,4,2,1,60,0.13333333333333333,0.5160176983454153,84825,170063,87801912677111.47,547090453273.6
224,aime_Qwen3-4B_S1,16,4,2,1,60,0.15,0.526775233041823,76432,156820,95999290533546.67,598603039931.7333
225,aime_Qwen3-4B_S1,16,4,2,1,60,0.16666666666666666,0.49832230488614476,83669,168388,100309621715908.27,625561648674.1333
226,aime_Qwen3-14B_S4,4,16,4,1,60,0.3333333333333333,0.7139701812245948,75380,956571,1464909003535091.2,9192943425032.533
227,aime_Qwen3-14B_S4,4,16,4,1,60,0.3333333333333333,0.7140043466059243,76583,945711,1464909003535091.2,9192943425032.533
228,aime_Qwen3-14B_S4,4,16,4,1,60,0.3333333333333333,0.7137499213358457,77644,982877,1464909003535091.2,9192943425032.533
229,aime_Qwen3-14B_S2,4,16,4,1,60,0.2833333333333333,0.6628960589869517,78589,528768,926582905076855.5,5818086878464.0
230,aime_Qwen3-14B_S2,4,16,4,1,60,0.25,0.6637949533707331,75362,543518,1087066930433335.5,6840694690269.866
231,aime_Qwen3-14B_S2,4,16,4,1,60,0.25,0.6802830349207022,78286,556019,1112386476605576.5,7000855711342.934
232,aime_Qwen3-14B_S1,4,16,4,1,60,0.15,0.5812086699370362,75734,291346,974184662214630.4,6141638350574.934
233,aime_Qwen3-14B_S1,4,16,4,1,60,0.13333333333333333,0.5765945080830568,70194,273063,524068155421730.1,3276998523161.6
234,aime_Qwen3-14B_S1,4,16,4,1,60,0.16666666666666666,0.6008800408365701,73091,283612,914960655661060.2,5764766176567.467
235,aime_Qwen3-0.6B_S8,8,8,2,1,60,0.1,0.5285711786800484,32859,437237,50929820034218.664,259372506385.06668
236,aime_Qwen3-0.6B_S8,8,8,2,1,60,0.1,0.5334672345880213,33878,418283,50929820034218.664,259372506385.06668
237,aime_Qwen3-0.6B_S8,8,8,2,1,60,0.1,0.5271638317572475,34282,439799,50929820034218.664,259372506385.06668
238,aime_Qwen3-0.6B_S4,8,8,2,1,60,0.06666666666666667,0.46145916339713844,31192,216773,37404118925670.4,204819420774.4
239,aime_Qwen3-0.6B_S4,8,8,2,1,60,0.08333333333333333,0.4587207237150925,32256,222323,39889805306743.47,220102864861.86667
240,aime_Qwen3-0.6B_S4,8,8,2,1,60,0.08333333333333333,0.48495527535303473,33596,221244,37827660790075.734,207333794850.13333
241,aime_Qwen3-0.6B_S2,8,8,2,1,60,0.06666666666666667,0.3864510752604449,30345,112286,28498110231389.867,163711371434.66666
242,aime_Qwen3-0.6B_S2,8,8,2,1,60,0.05,0.41583336288161915,31797,117868,28862681251720.535,166043927142.4
243,aime_Qwen3-0.6B_S2,8,8,2,1,60,0.03333333333333333,0.411519481554748,34850,116895,26097669344810.668,148829544857.6
244,aime_Qwen3-0.6B_S1,8,8,2,1,60,0.05,0.3513398001214522,27746,54524,23419088917674.668,139097633075.2
245,aime_Qwen3-0.6B_S1,8,8,2,1,60,0.016666666666666666,0.3479500561914801,29306,58536,26323678396407.465,157357616196.26666
246,aime_Qwen3-0.6B_S1,8,8,2,1,60,0.05,0.3284032360351718,25863,51765,21430075861282.133,126593078033.06667
247,aime_Qwen3-4B_S8,8,8,2,1,60,0.2833333333333333,0.7134759838291298,78393,1059866,126540913788714.67,742353277073.0667
248,aime_Qwen3-4B_S8,8,8,2,1,60,0.2833333333333333,0.7004339904027853,78634,1083720,126540913788714.67,742353277073.0667
249,aime_Qwen3-4B_S8,8,8,2,1,60,0.2833333333333333,0.7056069520906126,81802,1069222,126540913788714.67,742353277073.0667
250,aime_Qwen3-4B_S4,8,8,2,1,60,0.26666666666666666,0.667368229765406,78297,556334,107374647936972.8,650409051460.2667
251,aime_Qwen3-4B_S4,8,8,2,1,60,0.25,0.6635074433347842,78469,574432,106712540614237.86,646867682082.1333
252,aime_Qwen3-4B_S4,8,8,2,1,60,0.2833333333333333,0.6795300862624833,80515,564962,105116441493649.06,635691054276.2667
253,aime_Qwen3-4B_S2,8,8,2,1,60,0.21666666666666667,0.6138740284887653,77580,307786,94445427485806.94,583352598510.9333
254,aime_Qwen3-4B_S2,8,8,2,1,60,0.21666666666666667,0.6262204866963849,70960,297061,94211833951940.27,581947675946.6666
255,aime_Qwen3-4B_S2,8,8,2,1,60,0.2,0.6120549620970047,83127,309635,93510202705749.33,577305915349.3334
256,aime_Qwen3-4B_S1,8,8,2,1,60,0.13333333333333333,0.48924925981313244,86578,173197,80491898535620.27,501389430826.6667
257,aime_Qwen3-4B_S1,8,8,2,1,60,0.15,0.5315499675439571,84005,167955,82804786613725.86,516198674065.06665
258,aime_Qwen3-4B_S1,8,8,2,1,60,0.21666666666666667,0.5776095232772032,82822,163124,77967564599005.86,485418803174.4
259,aime_Qwen3-8B_S4,4,16,4,1,60,0.25,0.7004249244622288,81735,1137645,229797969603067.72,1412652448362.6667
260,aime_Qwen3-8B_S4,4,16,4,1,60,0.25,0.6948172948252839,79549,1168926,229797969603067.72,1412652448362.6667
261,aime_Qwen3-8B_S4,4,16,4,1,60,0.25,0.6967531976928935,81406,1182413,229797969603067.72,1412652448362.6667
262,aime_Qwen3-8B_S2,4,16,4,1,60,0.23333333333333334,0.6542353453010032,78776,592713,196043675393117.88,1218554971383.4666
263,aime_Qwen3-8B_S2,4,16,4,1,60,0.23333333333333334,0.6306756609550432,86945,621337,200327812905757.88,1246893373593.6
264,aime_Qwen3-8B_S2,4,16,4,1,60,0.2,0.6488528221401637,83566,646726,188238475022899.2,1169639029602.1333
265,aime_Qwen3-8B_S1,4,16,4,1,60,0.2,0.5907777247623242,89584,359692,162470132291686.4,1016044157294.9333
266,aime_Qwen3-8B_S1,4,16,4,1,60,0.18333333333333332,0.5952153209593907,77381,311370,165186981536622.94,1033164283212.8
267,aime_Qwen3-8B_S1,4,16,4,1,60,0.16666666666666666,0.5619855769873264,86363,346457,159962788273659.72,1000003170769.0667
268,aime_Qwen3-4B_S32,32,2,1,1,60,0.4,0.7080210514750114,81846,1983954,225139756605892.28,1176275410227.2
269,aime_Qwen3-4B_S32,32,2,1,1,60,0.4,0.7179602944643144,80747,1988749,225139756605892.28,1176275410227.2
270,aime_Qwen3-4B_S32,32,2,1,1,60,0.4,0.6979890107851197,80045,1964784,225139756605892.28,1176275410227.2
271,aime_Qwen3-4B_S16,32,2,1,1,60,0.36666666666666664,0.6874793321196756,77200,1116238,187706570217002.66,1064743694865.0667
