序号,model_sample_size,qp,cp,bs,n_trials,n_question,准确性,平均reward,answer_tokens,total_tokens,mean_eflops,访存量
70,aime_Qwen3-8B_S16,16,4,2,3,60,0.3333333333333333,0.7147226319722394,88990.66666666667,2228853.0,395881242365657.7,2324008134924.8
71,aime_Qwen3-8B_S8,16,4,2,3,60,0.3055555555555555,0.6784773290850014,86718.33333333333,1161771.6666666667,332696708272588.8,2018659025814.7556
72,aime_Qwen3-8B_S4,16,4,2,3,60,0.24444444444444446,0.6478511696948485,91299.66666666667,636259.6666666666,282870517083919.7,1747742167783.8223
73,aime_Qwen3-8B_S2,16,4,2,3,60,0.2333333333333333,0.5849146710653517,94776.66666666667,350542.6666666667,229304981678950.4,1429948217024.0
74,aime_Qwen3-8B_S1,16,4,2,3,60,0.16666666666666666,0.5182113238635595,97738.0,195562.33333333334,177531415810651.03,1110799762284.0889
75,aime_Qwen3-8B_S8,8,8,2,3,60,0.2833333333333333,0.7039641474058569,83716.33333333333,1199670.3333333333,254303047724680.53,1532312299878.3997
76,aime_Qwen3-8B_S4,8,8,2,3,60,0.25555555555555554,0.6553440958334023,88345.0,638325.0,217593487184567.47,1338417766872.1777
77,aime_Qwen3-8B_S2,8,8,2,3,60,0.2111111111111111,0.627279410712149,87288.66666666667,337822.0,183962296113851.75,1144308201708.0889
78,aime_Qwen3-8B_S1,8,8,2,3,60,0.18333333333333335,0.5424451599144726,92447.0,185098.0,140854499134031.66,878832457292.8002
79,aime_Qwen3-8B_S4,4,16,4,3,60,0.25,0.6973318056601353,80896.66666666667,1162994.6666666667,229797969603067.72,1412652448362.6667
80,aime_Qwen3-8B_S2,4,16,4,3,60,0.22222222222222224,0.6445879427987368,83095.66666666667,620258.6666666666,194869987773925.0,1211695791526.4001
81,aime_Qwen3-8B_S1,4,16,4,3,60,0.18333333333333335,0.5826595409030138,84442.66666666667,339173.0,162539967367323.03,1016403870425.6
82,aime_Qwen3-8B_S2,2,32,4,3,60,0.2833333333333333,0.6616592267295073,86379.33333333333,610868.6666666666,175087000862980.28,1087575637205.3334
83,aime_Qwen3-8B_S1,2,32,4,3,60,0.2388888888888889,0.6180585051134161,88210.0,351983.3333333333,144925299932077.5,904807115423.289
84,aime_Qwen3-8B_S1,1,64,4,3,60,0.20000000000000004,0.6359539347469637,82302.0,329261.0,128886529365431.45,802969605047.4667
