序号,model_sample_size,qp,cp,bs,n_trials,n_question,准确性,平均reward,answer_tokens,total_tokens,mean_eflops,mean_memory
190,aime_Qwen3-14B_S2,64,1,1,1,60,0.16666666666666666,0.4747725387984942,84781,172463,1.2149124775028118e+16,75731034672742.4
191,aime_Qwen3-14B_S2,64,1,1,1,60,0.21666666666666667,0.47300574612725055,87008,163260,1.133053392149262e+16,70692628947323.73
192,aime_Qwen3-14B_S2,64,1,1,1,60,0.1,0.4470502177740797,83129,168343,1.1296045111971468e+16,70520427929092.27
193,aime_Qwen3-14B_S1,64,1,1,1,60,0.13333333333333333,0.39919168702720415,84119,84119,7102135316489293.0,44636152163430.4
194,aime_Qwen3-14B_S1,64,1,1,1,60,0.15,0.37558422462281266,88889,88889,7362268947623415.0,46271315376913.07
195,aime_Qwen3-14B_S1,64,1,1,1,60,0.08333333333333333,0.4125240641667648,83399,83399,7281317167974707.0,45607820001228.8
196,aime_Qwen3-8B_S16,16,4,2,1,60,0.3333333333333333,0.7174690060830372,91973,2315612,3.759482555045121e+16,160910466369962.66
197,aime_Qwen3-8B_S16,16,4,2,1,60,0.3333333333333333,0.7261264939698646,90013,2354202,3.759482555045121e+16,160910466369962.66
198,aime_Qwen3-8B_S16,16,4,2,1,60,0.3333333333333333,0.7058320727969564,86779,2365657,3.759482555045121e+16,160910466369962.66
199,aime_Qwen3-8B_S8,16,4,2,1,60,0.2833333333333333,0.6809976046038261,88953,1240124,2.506523719631172e+16,120739811117137.06
200,aime_Qwen3-8B_S8,16,4,2,1,60,0.3,0.6765582044076328,85633,1216778,2.4649711389064564e+16,118520474264110.94
201,aime_Qwen3-8B_S8,16,4,2,1,60,0.3333333333333333,0.6902955741447582,85134,1190984,2.3990240298672516e+16,115191804644390.4
202,aime_Qwen3-8B_S4,16,4,2,1,60,0.21666666666666667,0.6466323734296789,91395,677750,1.6146553793761032e+16,84319639323537.06
203,aime_Qwen3-8B_S4,16,4,2,1,60,0.25,0.6709636090311978,94423,668689,1.7341504966145822e+16,90196686555242.67
204,aime_Qwen3-8B_S4,16,4,2,1,60,0.26666666666666666,0.6359547208512012,89395,638395,1.6101183061215274e+16,83937390682363.73
205,aime_Qwen3-8B_S2,16,4,2,1,60,0.21666666666666667,0.5652300494556053,94954,367555,1.1345227571307926e+16,62279125129817.6
206,aime_Qwen3-8B_S2,16,4,2,1,60,0.25,0.6226846189546162,95622,350792,1.1328784924617318e+16,61808813069482.664
207,aime_Qwen3-8B_S2,16,4,2,1,60,0.23333333333333334,0.5832967792864074,91585,365806,1.1380486886866432e+16,62447283135146.664
208,aime_Qwen3-8B_S1,16,4,2,1,60,0.18333333333333332,0.5154643357158998,96774,193631,7069965982911991.0,40333163663910.4
209,aime_Qwen3-8B_S1,16,4,2,1,60,0.16666666666666666,0.531353782550598,95075,190441,7115975837740412.0,40559834002568.53
210,aime_Qwen3-8B_S1,16,4,2,1,60,0.15,0.5078158533241807,101365,202615,7627571310071296.0,43291099495522.13
211,aime_Qwen3-4B_S16,16,4,2,1,60,0.3,0.7209819618986109,75193,2064114,2.105555419059749e+16,72642263612492.8
212,aime_Qwen3-4B_S16,16,4,2,1,60,0.3,0.737200728913396,75989,2096120,2.105555419059749e+16,72642263612492.8
213,aime_Qwen3-4B_S16,16,4,2,1,60,0.3,0.7287476837594234,75632,2083164,2.105555419059749e+16,72642263612492.8
214,aime_Qwen3-4B_S8,16,4,2,1,60,0.26666666666666666,0.6967618706094086,75564,1127112,1.3008818438994612e+16,52277702064460.8
215,aime_Qwen3-4B_S8,16,4,2,1,60,0.2833333333333333,0.6707278663946039,78448,1092561,1.3608718845722572e+16,55019704933538.13
216,aime_Qwen3-4B_S8,16,4,2,1,60,0.2833333333333333,0.6864394575349362,74483,1090629,1.256704754130583e+16,51397477120938.664
217,aime_Qwen3-4B_S4,16,4,2,1,60,0.21666666666666667,0.6557183517942801,80665,626950,8440764239740117.0,37961517605009.07
218,aime_Qwen3-4B_S4,16,4,2,1,60,0.23333333333333334,0.6740773707664659,76421,601889,8506891084356557.0,38607269960055.47
219,aime_Qwen3-4B_S4,16,4,2,1,60,0.2,0.6447446590428352,76545,626820,8357637484788770.0,37865539714764.8
220,aime_Qwen3-4B_S2,16,4,2,1,60,0.18333333333333332,0.6082331567800715,80700,312178,5082884321003810.0,25558217887078.4
221,aime_Qwen3-4B_S2,16,4,2,1,60,0.18333333333333332,0.5686195399243575,81109,303930,5143571098032572.0,25691170802918.4
222,aime_Qwen3-4B_S2,16,4,2,1,60,0.16666666666666666,0.565534971043646,87526,335045,5274556566811494.0,25987857493947.734
223,aime_Qwen3-4B_S1,16,4,2,1,60,0.13333333333333333,0.5160176983454153,84825,170063,3443505219606613.5,18022951429657.6
224,aime_Qwen3-4B_S1,16,4,2,1,60,0.15,0.526775233041823,76432,156820,3067668680354312.5,16472145533832.533
225,aime_Qwen3-4B_S1,16,4,2,1,60,0.16666666666666666,0.49832230488614476,83669,168388,3205565553892505.5,17206778257006.934
226,aime_Qwen3-14B_S4,4,16,4,1,60,0.3333333333333333,0.7139701812245948,75380,956571,3.957721693610902e+16,214783415141124.28
227,aime_Qwen3-14B_S4,4,16,4,1,60,0.3333333333333333,0.7140043466059243,76583,945711,3.957721693610902e+16,214783415141124.28
228,aime_Qwen3-14B_S4,4,16,4,1,60,0.3333333333333333,0.7137499213358457,77644,982877,3.957721693610902e+16,214783415141124.28
229,aime_Qwen3-14B_S2,4,16,4,1,60,0.2833333333333333,0.6628960589869517,78589,528768,2.539039766331966e+16,144249155750660.28
230,aime_Qwen3-14B_S2,4,16,4,1,60,0.25,0.6637949533707331,75362,543518,2.6437953059045516e+16,149035552422933.34
231,aime_Qwen3-14B_S2,4,16,4,1,60,0.25,0.6802830349207022,78286,556019,2.78758761859134e+16,157947767429201.06
232,aime_Qwen3-14B_S1,4,16,4,1,60,0.15,0.5812086699370362,75734,291346,1.741801838834388e+16,102219359068689.06
233,aime_Qwen3-14B_S1,4,16,4,1,60,0.13333333333333333,0.5765945080830568,70194,273063,1.5526889440236996e+16,90856270498598.4
234,aime_Qwen3-14B_S1,4,16,4,1,60,0.16666666666666666,0.6008800408365701,73091,283612,1.6890309774534814e+16,99333951626956.8
235,aime_Qwen3-0.6B_S8,8,8,2,1,60,0.1,0.5285711786800484,32859,437237,2487100366544862.0,6006626265429.333
236,aime_Qwen3-0.6B_S8,8,8,2,1,60,0.1,0.5334672345880213,33878,418283,2487100366544862.0,6006626265429.333
237,aime_Qwen3-0.6B_S8,8,8,2,1,60,0.1,0.5271638317572475,34282,439799,2487100366544862.0,6006626265429.333
238,aime_Qwen3-0.6B_S4,8,8,2,1,60,0.06666666666666667,0.46145916339713844,31192,216773,1251002059798144.0,3705252883157.3335
239,aime_Qwen3-0.6B_S4,8,8,2,1,60,0.08333333333333333,0.4587207237150925,32256,222323,1384076156121062.5,4015238061431.467
240,aime_Qwen3-0.6B_S4,8,8,2,1,60,0.08333333333333333,0.48495527535303473,33596,221244,1244790718613393.0,3859437063116.8
